pet_id,name
3001,喵喵
3002,水蓝蓝
3003,火花
3004,迪莫
3005,水灵
3006,火神
3007,魔力猫
3008,草头鸭
3009,赤毛鸡仔
3010,恶魔叮
3011,恶魔狼
3012,鸭吉吉
3013,铠甲虫
3014,阿米亚特
3015,阿米樱
3016,罗隐
3017,蹦蹦种子
3018,蹦蹦草
3019,蹦蹦花
3020,地鼠
3021,遁鼠
3022,遁地鼠
3023,火云斗鸡
3024,伊丽莎白
3025,喵呜
3026,绿草精灵
3027,蒲公英娃娃
3028,冬羽雀
3029,奇丽草
3030,奇丽叶
3031,奇丽花
3032,焰火
3033,波波拉
3034,蒲公英
3035,魔草巫灵
3036,鸭吉吉
3037,岚鸟
3038,小甲虫
3039,叮叮恶魔
3040,丢丢
3041,卡卡虫
3042,卡瓦重
3043,伊贝儿
3044,伊贝粉粉
3045,锥尾羊
3046,铃兰羊
3047,花影羚羊
3048,圣光迪莫
3049,白发懒人
3050,记忆石
3051,圣草迪莫
3052,煤球憨憨
3053,害羞球球
3054,蓝衣夜灵
3055,板板壳
3056,咔咔壳
3057,水泡壳
3058,一窝蜂
3059,黄蜂后
3060,小灵面
3061,暗影灵面
3062,小独角兽
3063,白金独角兽
3064,幽影树
3065,忽幽狸
3066,影狸
3067,卷毛鸭
3069,锤头鹳
3070,护主犬
3071,音速犬
3072,格兰种子
3073,格兰花
3074,格兰球
3075,灵狐
3076,九尾狐
3077,尖嘴狐仙
3078,烈钻鸟
3079,长尾火鸟
3080,火羽
3081,治愈兔
3082,红丝绒
3083,可爱猿
3084,炽热猿
3085,火焰猿
3086,可立鸡
3087,晕晕鸡
3088,绅士鸡
3089,武者鸡
3090,火尾瓦特
3091,火尾战士
3092,烈火守护
3093,呆小路
3094,舞动路路
3095,白发路路
3097,灵蔓草王
3098,绿耳松鼠
3099,抱枕松鼠
3100,蹦床松鼠
3101,动力猿
3102,瞌睡王
3103,布是石
3104,布是岩
3105,布克棱岩
3106,石肤蜥
3107,石刺蜥
3108,石冠王蜥
3109,仪使者
3110,仪式之星
3111,仪式巨像
3112,甜田螺
3113,壳乙螺
3114,卡洛儿
3115,风铃鲨
3116,蓝蝶鲨
3117,彩蝶鲨
3118,果冻
3119,翡翠水母
3120,琉璃水母
3121,大耳帽兜
3122,帽兜娃娃
3123,雪影娃娃
3124,脆筒甜甜
3125,香草甜甜
3126,圣代甜甜
3127,小狮鹫
3128,神圣狮鹫
3129,皇家狮鹫
3130,圆眼蜘蛛
3131,尖角蜘蛛
3132,芋香巨角蛛
3133,小螂
